,retail_recreation,grocery_pharmacy,parks,transit_stations,workplace,residential,second_level_subdivision,country_code,first_level_subdivision
0,-38.0,-21.0,-13.0,-34.0,-33,10.0,None,AF,None
0,-61.0,-40.0,-39.0,-57.0,-11,22.0,None,AO,None
0,-46.0,-21.0,-30.0,-67.0,-48,17.0,None,AG,None
0,-86.0,-61.0,-89.0,-80.0,-57,27.0,None,AR,None
1,-90.0,-48.0,-91.0,-82.0,-69,31.0,None,AR,Buenos Aires
2,-88.0,-60.0,-91.0,-79.0,-60,26.0,None,AR,Buenos Aires Province
3,-71.0,-46.0,-78.0,-81.0,-35,29.0,None,AR,Catamarca Province
4,-79.0,-63.0,-83.0,-92.0,-48,24.0,None,AR,Chaco Province
5,-92.0,-91.0,-94.0,-93.0,-62,28.0,None,AR,Chubut Province
6,-88.0,-66.0,-90.0,-91.0,-57,30.0,None,AR,Cordoba
7,-80.0,-63.0,-88.0,-89.0,-47,25.0,None,AR,Corrientes
8,-87.0,-65.0,-93.0,-90.0,-54,29.0,None,AR,Entre Rios
9,-76.0,-53.0,-82.0,-71.0,-37,21.0,None,AR,Formosa Province
10,-80.0,-55.0,-83.0,-92.0,-44,27.0,None,AR,Jujuy
11,-88.0,-72.0,-88.0,-87.0,-56,28.0,None,AR,La Pampa
12,-70.0,-46.0,-84.0,-86.0,-40,26.0,None,AR,La Rioja Province
13,-81.0,-56.0,-84.0,-72.0,-49,29.0,None,AR,Mendoza Province
14,-83.0,-66.0,-85.0,-92.0,-51,27.0,None,AR,Misiones Province
15,-96.0,-95.0,-95.0,-92.0,-72,33.0,None,AR,Neuquen
16,-90.0,-72.0,-92.0,-96.0,-55,29.0,None,AR,Río Negro
17,-82.0,-55.0,-84.0,-76.0,-47,26.0,None,AR,Salta Province
18,-76.0,-50.0,-80.0,-87.0,-46,28.0,None,AR,San Juan Province
19,-85.0,-60.0,-89.0,-91.0,-56,29.0,None,AR,San Luis Province
20,-83.0,-62.0,-88.0,-91.0,-56,24.0,None,AR,Santa Cruz Province
21,-87.0,-63.0,-89.0,-77.0,-57,29.0,None,AR,Santa Fe Province
22,-75.0,-49.0,-75.0,-90.0,-46,25.0,None,AR,Santiago del Estero Province
23,-87.0,-63.0,-89.0,-92.0,-59,24.0,None,AR,Tierra del Fuego Province
24,-81.0,-53.0,-78.0,-90.0,-51,28.0,None,AR,Tucumán
0,-88.0,-66.0,-80.0,-88.0,-72,20.0,None,AW,None
0,-45.0,-19.0,-35.0,-58.0,-33,13.0,None,AU,None
1,-40.0,-3.0,38.0,-52.0,-31,11.0,None,AU,Australian Capital Territory
2,-44.0,-13.0,-27.0,-57.0,-35,14.0,None,AU,New South Wales
3,-35.0,-13.0,-20.0,-55.0,-23,12.0,None,AU,Northern Territory
4,-40.0,-19.0,-33.0,-57.0,-30,12.0,None,AU,Queensland
5,-43.0,-15.0,-33.0,-55.0,-28,12.0,None,AU,South Australia
6,-50.0,-30.0,-70.0,-62.0,-28,13.0,None,AU,Tasmania
7,-51.0,-26.0,-55.0,-68.0,-37,16.0,None,AU,Victoria
8,-40.0,-16.0,-37.0,-55.0,-26,13.0,None,AU,Western Australia
0,-87.0,-64.0,-43.0,-71.0,-51,14.0,None,AT,None
